,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,OKC,C,0.5246212121212122,0.7509755232351897,0.5470352206865805,0.6551724137931035,0.0,0.5539345711759506,0.233206106870229,0.5121765601217657,0.6161417322834646,0.27,0.0,0.0,0.61,0.54,0.22,0.35,0.88,0.4,0.56,0.09,0.43,0.33,0.3,0.28,0.32
1,Bam Adebayo,MIA,PF,0.22916666666666666,0.6055338772614403,0.5376727596968346,0.6206896551724138,0.023255813953488372,0.5990274093722371,0.3019083969465649,0.4223744292237444,0.6299212598425197,0.29,0.0,0.03,0.58,0.56,0.36,0.44,0.55,0.63,0.6,0.35,0.38,0.36,0.47,0.32,0.35
2,LaMarcus Aldridge,SAS,C,0.4791666666666667,0.8527846754168146,0.7115470352206866,0.4827586206896554,0.08139534883720931,0.4955791335101681,0.6293893129770992,0.5669710806697108,0.6692913385826771,0.74,0.06,0.1,0.9,0.94,0.43,0.44,0.55,0.47,0.49,0.15,0.19,0.39,0.28,0.18,0.63
3,Jarrett Allen,BRK,C,0.22727272727272727,0.5601277048598793,0.5769059295586269,0.7586206896551726,0.046511627906976744,0.6065428824049514,0.23091603053435117,0.471841704718417,0.5295275590551181,0.25,0.0,0.03,0.6,0.49,0.34,0.41,0.69,0.63,0.66,0.11,0.19,0.58,0.3,0.33,0.36
4,Al-Farouq Aminu,ORL,PF,0.3958333333333333,0.7094714437743881,0.2755238519839501,0.37931034482758635,0.5697674418604651,0.45977011494252873,0.20725190839694657,0.2656012176560122,0.5059055118110237,0.28,0.36,0.43,0.18,0.25,0.17,0.18,0.27,0.57,0.47,0.11,0.48,0.22,0.23,0.18,0.22
5,Justin Anderson,BRK,SF,0.3768939393939394,0.1933309684285207,0.30450289790459206,0.3448275862068967,0.5465116279069767,0.3519009725906278,0.36450381679389315,0.18645357686453579,0.17913385826771655,0.43,0.36,0.52,0.31,0.35,0.26,0.29,0.31,0.38,0.35,0.11,0.48,0.22,0.3,0.35,0.35
6,Kyle Anderson,MEM,PF,0.4393939393939394,0.4271018091521816,0.33259028087382975,0.44827586206896575,0.19767441860465118,0.3700265251989391,0.13854961832061066,0.2458143074581431,0.5118110236220472,0.16,0.08,0.12,0.35,0.36,0.15,0.18,0.2,0.45,0.36,0.31,0.71,0.31,0.26,0.21,0.16
7,Ryan Anderson,HOU,C,0.2916666666666667,0.6009223128769067,0.29068212215782435,0.4137931034482761,0.686046511627907,0.3169761273209549,0.3041984732824427,0.36377473363774737,0.20669291338582677,0.46,0.54,0.62,0.23,0.29,0.24,0.23,0.37,0.3,0.32,0.06,0.14,0.08,0.14,0.18,0.39
8,Giannis Antetokounmpo,MIL,PF,0.5075757575757576,0.9166371053565093,0.9255461435577352,0.6206896551724138,0.1744186046511628,0.6038903625110522,0.7740458015267176,0.6978691019786911,0.8562992125984251,0.74,0.14,0.23,0.95,0.86,0.66,0.78,0.35,0.72,0.6,0.49,0.52,0.44,0.65,0.33,0.78
9,Carmelo Anthony,POR,PF,0.35984848484848486,0.8854203618304362,0.43869817209094963,0.3448275862068967,0.37209302325581395,0.33023872679045096,0.616412213740458,0.32572298325722987,0.3838582677165355,0.76,0.38,0.48,0.57,0.69,0.35,0.37,0.2,0.42,0.34,0.2,0.29,0.14,0.33,0.26,0.57
10,OG Anunoby,TOR,SF,0.20454545454545456,0.5267825470024831,0.22559072670530542,0.5517241379310345,0.5697674418604651,0.22855879752431474,0.16603053435114504,0.25722983257229837,0.4763779527559055,0.26,0.34,0.4,0.25,0.25,0.09,0.12,0.24,0.28,0.24,0.08,0.52,0.17,0.21,0.32,0.24
11,Ryan Arcidiacono,CHI,PG,0.11553030303030302,0.3944661227385598,0.18323673651359784,0.5172413793103448,0.686046511627907,0.13793103448275865,0.06832061068702287,0.2861491628614916,0.16338582677165353,0.14,0.34,0.38,0.11,0.14,0.11,0.12,0.08,0.21,0.15,0.4,0.38,0.0,0.19,0.3,0.14
