;epsilon;min_size;score;nb_clusters;var_portion
0;0.05;2.0;-0.28319301008644504;56.0;0.6
258;0.12000000000000001;2.0;-0.2612712606222636;56.0;0.7000000000000001
121;0.05;2.0;-0.28319301008644504;56.0;0.65
254;0.11000000000000001;2.0;-0.28340711549194875;55.0;0.7000000000000001
6;0.060000000000000005;2.0;-0.2256824199771233;55.0;0.6
127;0.060000000000000005;2.0;-0.2256824199771233;55.0;0.65
251;0.1;2.0;-0.3106639813976833;52.0;0.7000000000000001
262;0.13;2.0;-0.23028482885646395;45.0;0.7000000000000001
13;0.07;2.0;-0.18398928735157455;43.0;0.6
134;0.07;2.0;-0.18398928735157455;43.0;0.65
249;0.09000000000000001;2.0;-0.34075001647003617;41.0;0.7000000000000001
624;0.22000000000000003;2.0;-0.2640998639794081;41.0;0.8500000000000002
21;0.08000000000000002;2.0;-0.18024529395763336;40.0;0.6
142;0.08000000000000002;2.0;-0.18024529395763336;40.0;0.65
500;0.15000000000000002;2.0;-0.33016247605091276;39.0;0.8000000000000002
633;0.24000000000000005;2.0;-0.24436128266805893;39.0;0.8500000000000002
628;0.23000000000000004;2.0;-0.26038825046541886;39.0;0.8500000000000002
384;0.15000000000000002;2.0;-0.33016247605091276;39.0;0.7500000000000001
397;0.19;2.0;-0.2187722854192279;38.0;0.7500000000000001
390;0.17000000000000004;2.0;-0.2686714766669783;38.0;0.7500000000000001
387;0.16000000000000003;2.0;-0.3108293088656844;38.0;0.7500000000000001
503;0.16000000000000003;2.0;-0.3108293088656844;38.0;0.8000000000000002
506;0.17000000000000004;2.0;-0.2686714766669783;38.0;0.8000000000000002
513;0.19;2.0;-0.2187722854192279;38.0;0.8000000000000002
267;0.14;2.0;-0.2125516395290028;38.0;0.7000000000000001
639;0.25000000000000006;2.0;-0.2174071040256149;37.0;0.8500000000000002
393;0.18000000000000005;2.0;-0.24400835297621293;37.0;0.7500000000000001
509;0.18000000000000005;2.0;-0.24400835297621293;37.0;0.8000000000000002
518;0.2;2.0;-0.20524707909374504;36.0;0.8000000000000002
273;0.15000000000000002;2.0;-0.18791593943544974;36.0;0.7000000000000001
402;0.2;2.0;-0.20524707909374504;36.0;0.7500000000000001
247;0.08000000000000002;2.0;-0.36555249705723275;35.0;0.7000000000000001
529;0.22000000000000003;2.0;-0.18111040908309053;33.0;0.8000000000000002
523;0.21000000000000002;2.0;-0.18768117955578598;33.0;0.8000000000000002
621;0.21000000000000002;2.0;-0.309757583370792;33.0;0.8500000000000002
